,Suburb,Year,Housing_Type,Value
0,Albert Park-Middle Park-West St Kilda,2018,1 bedroom flats,350.0
1,Albert Park-Middle Park-West St Kilda,2018,2 bedroom flats,497.5
2,Albert Park-Middle Park-West St Kilda,2018,2 bedroom houses,675.0
3,Albert Park-Middle Park-West St Kilda,2018,3 bedroom flats,805.0
4,Albert Park-Middle Park-West St Kilda,2018,3 bedroom houses,937.5
5,Albert Park-Middle Park-West St Kilda,2018,4 bedroom houses,1150.0
6,Albert Park-Middle Park-West St Kilda,2018,All properties,565.0
7,Albert Park-Middle Park-West St Kilda,2019,1 bedroom flats,355.0
8,Albert Park-Middle Park-West St Kilda,2019,2 bedroom flats,500.0
9,Albert Park-Middle Park-West St Kilda,2019,2 bedroom houses,679.0
10,Albert Park-Middle Park-West St Kilda,2019,3 bedroom flats,733.0
11,Albert Park-Middle Park-West St Kilda,2019,3 bedroom houses,950.0
12,Albert Park-Middle Park-West St Kilda,2019,4 bedroom houses,1187.5
13,Albert Park-Middle Park-West St Kilda,2019,All properties,565.0
14,Albert Park-Middle Park-West St Kilda,2020,1 bedroom flats,352.5
15,Albert Park-Middle Park-West St Kilda,2020,2 bedroom flats,500.0
16,Albert Park-Middle Park-West St Kilda,2020,2 bedroom houses,671.5
17,Albert Park-Middle Park-West St Kilda,2020,3 bedroom flats,866.5
18,Albert Park-Middle Park-West St Kilda,2020,3 bedroom houses,975.0
19,Albert Park-Middle Park-West St Kilda,2020,4 bedroom houses,1339.0
20,Albert Park-Middle Park-West St Kilda,2020,All properties,565.0
21,Albert Park-Middle Park-West St Kilda,2021,1 bedroom flats,327.5
22,Albert Park-Middle Park-West St Kilda,2021,2 bedroom flats,451.5
23,Albert Park-Middle Park-West St Kilda,2021,2 bedroom houses,637.5
24,Albert Park-Middle Park-West St Kilda,2021,3 bedroom flats,725.0
25,Albert Park-Middle Park-West St Kilda,2021,3 bedroom houses,899.0
26,Albert Park-Middle Park-West St Kilda,2021,4 bedroom houses,1112.5
27,Albert Park-Middle Park-West St Kilda,2021,All properties,500.0
28,Albert Park-Middle Park-West St Kilda,2022,1 bedroom flats,325.0
29,Albert Park-Middle Park-West St Kilda,2022,2 bedroom flats,450.0
30,Albert Park-Middle Park-West St Kilda,2022,2 bedroom houses,650.0
31,Albert Park-Middle Park-West St Kilda,2022,3 bedroom flats,700.0
32,Albert Park-Middle Park-West St Kilda,2022,3 bedroom houses,950.0
33,Albert Park-Middle Park-West St Kilda,2022,4 bedroom houses,1100.0
34,Albert Park-Middle Park-West St Kilda,2022,All properties,500.0
35,Altona,2018,1 bedroom flats,284.0
36,Altona,2018,2 bedroom flats,345.0
37,Altona,2018,2 bedroom houses,355.0
38,Altona,2018,3 bedroom flats,405.0
39,Altona,2018,3 bedroom houses,382.5
40,Altona,2018,4 bedroom houses,420.0
41,Altona,2018,All properties,400.0
42,Altona,2019,1 bedroom flats,292.5
43,Altona,2019,2 bedroom flats,355.0
44,Altona,2019,2 bedroom houses,360.0
45,Altona,2019,3 bedroom flats,420.0
46,Altona,2019,3 bedroom houses,390.0
47,Altona,2019,4 bedroom houses,421.5
48,Altona,2019,All properties,400.0
49,Altona,2020,1 bedroom flats,290.0
50,Altona,2020,2 bedroom flats,355.0
51,Altona,2020,2 bedroom houses,365.0
52,Altona,2020,3 bedroom flats,405.0
53,Altona,2020,3 bedroom houses,390.0
54,Altona,2020,4 bedroom houses,420.0
55,Altona,2020,All properties,400.0
56,Altona,2021,1 bedroom flats,280.0
57,Altona,2021,2 bedroom flats,350.0
58,Altona,2021,2 bedroom houses,360.0
59,Altona,2021,3 bedroom flats,400.0
60,Altona,2021,3 bedroom houses,380.0
