,Suburb,Housing_Type,Value,No_of_child_charity,No_of_adult_charity,No_of_bus_stop,No_of_train_station,School_Type,No_of_school
280,albert park,1 bedroom flats,325.0,13.0,17.0,0.0,0.0,Primary,2.0
281,albert park,1 bedroom flats,325.0,13.0,17.0,0.0,0.0,Secondary,1.0
282,middle park,1 bedroom flats,325.0,4.0,5.0,0.0,0.0,Primary,1.0
283,west st kilda,1 bedroom flats,325.0,1.0,1.0,0.0,0.0,0,0.0
284,albert park,2 bedroom flats,450.0,13.0,17.0,0.0,0.0,Primary,2.0
285,albert park,2 bedroom flats,450.0,13.0,17.0,0.0,0.0,Secondary,1.0
286,middle park,2 bedroom flats,450.0,4.0,5.0,0.0,0.0,Primary,1.0
287,west st kilda,2 bedroom flats,450.0,1.0,1.0,0.0,0.0,0,0.0
288,albert park,2 bedroom houses,650.0,13.0,17.0,0.0,0.0,Primary,2.0
289,albert park,2 bedroom houses,650.0,13.0,17.0,0.0,0.0,Secondary,1.0
290,middle park,2 bedroom houses,650.0,4.0,5.0,0.0,0.0,Primary,1.0
291,west st kilda,2 bedroom houses,650.0,1.0,1.0,0.0,0.0,0,0.0
292,albert park,3 bedroom flats,700.0,13.0,17.0,0.0,0.0,Primary,2.0
293,albert park,3 bedroom flats,700.0,13.0,17.0,0.0,0.0,Secondary,1.0
294,middle park,3 bedroom flats,700.0,4.0,5.0,0.0,0.0,Primary,1.0
295,west st kilda,3 bedroom flats,700.0,1.0,1.0,0.0,0.0,0,0.0
296,albert park,3 bedroom houses,950.0,13.0,17.0,0.0,0.0,Primary,2.0
297,albert park,3 bedroom houses,950.0,13.0,17.0,0.0,0.0,Secondary,1.0
298,middle park,3 bedroom houses,950.0,4.0,5.0,0.0,0.0,Primary,1.0
299,west st kilda,3 bedroom houses,950.0,1.0,1.0,0.0,0.0,0,0.0
300,albert park,4 bedroom houses,1100.0,13.0,17.0,0.0,0.0,Primary,2.0
301,albert park,4 bedroom houses,1100.0,13.0,17.0,0.0,0.0,Secondary,1.0
302,middle park,4 bedroom houses,1100.0,4.0,5.0,0.0,0.0,Primary,1.0
303,west st kilda,4 bedroom houses,1100.0,1.0,1.0,0.0,0.0,0,0.0
304,albert park,All properties,500.0,13.0,17.0,0.0,0.0,Primary,2.0
305,albert park,All properties,500.0,13.0,17.0,0.0,0.0,Secondary,1.0
306,middle park,All properties,500.0,4.0,5.0,0.0,0.0,Primary,1.0
307,west st kilda,All properties,500.0,1.0,1.0,0.0,0.0,0,0.0
518,altona,1 bedroom flats,285.0,10.0,13.0,0.0,2.0,Pri/Sec,1.0
519,altona,1 bedroom flats,285.0,10.0,13.0,0.0,2.0,Primary,2.0
520,altona,1 bedroom flats,285.0,10.0,13.0,0.0,2.0,Secondary,1.0
521,altona,2 bedroom flats,350.0,10.0,13.0,0.0,2.0,Pri/Sec,1.0
522,altona,2 bedroom flats,350.0,10.0,13.0,0.0,2.0,Primary,2.0
523,altona,2 bedroom flats,350.0,10.0,13.0,0.0,2.0,Secondary,1.0
524,altona,2 bedroom houses,365.0,10.0,13.0,0.0,2.0,Pri/Sec,1.0
525,altona,2 bedroom houses,365.0,10.0,13.0,0.0,2.0,Primary,2.0
526,altona,2 bedroom houses,365.0,10.0,13.0,0.0,2.0,Secondary,1.0
527,altona,3 bedroom flats,410.0,10.0,13.0,0.0,2.0,Pri/Sec,1.0
528,altona,3 bedroom flats,410.0,10.0,13.0,0.0,2.0,Primary,2.0
