,housing_type,budget,school_type,results
0,1 bedroom flats,100,0,"['prahran', 'broadmeadows', 'cranbourne']"
1,1 bedroom flats,100,Primary,"['hampton', 'newport', 'hastings']"
2,1 bedroom flats,100,Secondary,"['ferntree gully', 'cranbourne', 'broadmeadows']"
3,1 bedroom flats,100,Pri/Sec,"['broadmeadows', 'cranbourne', 'elsternwick']"
4,1 bedroom flats,200,0,"['prahran', 'broadmeadows', 'cranbourne']"
5,1 bedroom flats,200,Primary,"['hampton', 'newport', 'elsternwick']"
6,1 bedroom flats,200,Secondary,"['ferntree gully', 'cranbourne', 'broadmeadows']"
7,1 bedroom flats,200,Pri/Sec,"['broadmeadows', 'cranbourne', 'elsternwick']"
8,1 bedroom flats,300,0,"['prahran', 'cranbourne', 'broadmeadows']"
9,1 bedroom flats,300,Primary,"['hampton', 'elsternwick', 'newport']"
10,1 bedroom flats,300,Secondary,"['cranbourne', 'broadmeadows', 'greensborough']"
11,1 bedroom flats,300,Pri/Sec,"['broadmeadows', 'cranbourne', 'elsternwick']"
12,1 bedroom flats,400,0,"['prahran', 'cranbourne', 'newport']"
13,1 bedroom flats,400,Primary,"['hampton', 'newport', 'donvale']"
14,1 bedroom flats,400,Secondary,"['cranbourne', 'donvale', 'canterbury']"
15,1 bedroom flats,400,Pri/Sec,"['broadmeadows', 'cranbourne', 'elsternwick']"
16,1 bedroom flats,500,0,"['prahran', 'newport', 'donvale']"
17,1 bedroom flats,500,Primary,"['hampton', 'newport', 'donvale']"
18,1 bedroom flats,500,Secondary,"['donvale', 'canterbury', 'hampton']"
19,1 bedroom flats,500,Pri/Sec,"['broadmeadows', 'elsternwick', 'donvale']"
20,1 bedroom flats,600,0,"['prahran', 'donvale', 'newport']"
21,1 bedroom flats,600,Primary,"['hampton', 'newport', 'donvale']"
22,1 bedroom flats,600,Secondary,"['donvale', 'canterbury', 'hampton']"
23,1 bedroom flats,600,Pri/Sec,"['elsternwick', 'broadmeadows', 'hampton']"
24,1 bedroom flats,700,0,"['prahran', 'newport', 'donvale']"
25,1 bedroom flats,700,Primary,"['hampton', 'newport', 'donvale']"
26,1 bedroom flats,700,Secondary,"['canterbury', 'fitzroy north', 'donvale']"
27,1 bedroom flats,700,Pri/Sec,"['elsternwick', 'hampton', 'broadmeadows']"
28,1 bedroom flats,800,0,"['prahran', 'newport', 'donvale']"
29,1 bedroom flats,800,Primary,"['hampton', 'newport', 'donvale']"
