,Region,Suburb,Housing_Type,Median Price - Last Quarter,Forecasted Price,Difference,Percentage Difference
0,Inner Melbourne,Albert Park-Middle Park-West St Kilda,1 bedroom flats,340.0,346.95,6.949999999999989,2.04
1,Inner Melbourne,Armadale,1 bedroom flats,340.0,371.09,31.089999999999975,9.14
2,Inner Melbourne,Carlton North,1 bedroom flats,320.0,345.18199999999996,25.18199999999996,7.87
3,Inner Melbourne,Carlton-Parkville,1 bedroom flats,299.0,295.76,-3.240000000000009,-1.08
4,Inner Melbourne,CBD-St Kilda Rd,1 bedroom flats,364.0,350.07,-13.930000000000007,-3.83
5,Inner Melbourne,Collingwood-Abbotsford,1 bedroom flats,385.0,382.0,-3.0,-0.78
6,Inner Melbourne,Docklands,1 bedroom flats,400.0,Insufficient Data for Forecast,0.0,0.0
7,Inner Melbourne,East Melbourne,1 bedroom flats,395.0,352.94,-42.06,-10.65
8,Inner Melbourne,East St Kilda,1 bedroom flats,300.0,301.25,1.25,0.42
9,Inner Melbourne,Elwood,1 bedroom flats,320.0,311.96,-8.04000000000002,-2.51
10,Inner Melbourne,Fitzroy,1 bedroom flats,400.0,399.17,-0.8299999999999841,-0.21
11,Inner Melbourne,Fitzroy North-Clifton Hill,1 bedroom flats,345.0,345.42,0.4200000000000159,0.12
12,Inner Melbourne,Flemington-Kensington,1 bedroom flats,325.0,341.55,16.55000000000001,5.09
13,Inner Melbourne,North Melbourne-West Melbourne,1 bedroom flats,320.0,315.2,-4.800000000000011,-1.5
14,Inner Melbourne,Port Melbourne,1 bedroom flats,425.0,416.6,-8.399999999999977,-1.98
15,Inner Melbourne,Prahran-Windsor,1 bedroom flats,320.0,319.8,-0.19999999999998863,-0.06
16,Inner Melbourne,Richmond-Burnley,1 bedroom flats,375.0,371.0,-4.0,-1.07
17,Inner Melbourne,South Melbourne,1 bedroom flats,380.0,385.5,5.5,1.45
18,Inner Melbourne,South Yarra,1 bedroom flats,360.0,358.15,-1.8500000000000227,-0.51
19,Inner Melbourne,Southbank,1 bedroom flats,390.0,365.3,-24.69999999999999,-6.33
20,Inner Melbourne,St Kilda,1 bedroom flats,325.0,328.2,3.1999999999999886,0.98
21,Inner Melbourne,Toorak,1 bedroom flats,326.0,323.47,-2.5299999999999727,-0.78
23,Inner Eastern Melbourne,Balwyn,1 bedroom flats,355.0,Insufficient Data for Forecast,0.0,0.0
